Study,Case,Value_1,Value_2,Value_3
Beam Waist Trade,Power [W],5000,,
Beam Waist Trade,w0 = 0.005 m,Range-to-effect [m],1210.21021021021,
Beam Waist Trade,w0 = 0.020 m,Range-to-effect [m],1909.9099099099099,
Beam Waist Trade,w0 = 0.050 m,Range-to-effect [m],1783.7837837837837,
Thermal Blooming Trade,Power [W],5000,,
Thermal Blooming Trade,No blooming,Range-to-effect [m],3000.0,
Thermal Blooming Trade,Blooming coeff = 1.0e-07,Range-to-effect [m],3000.0,
Thermal Blooming Trade,Blooming coeff = 1.0e-06,Range-to-effect [m],1909.9099099099099,
Thermal Blooming Trade,Blooming coeff = 1.0e-05,Range-to-effect [m],456.4564564564564,
Design Space Optimum,Best beam waist [m],0.023750000000000004,,
Design Space Optimum,Best power [W],20000.0,,
Design Space Optimum,Best effective range [m],2015.5038759689921,,
Design Space Optimum,Threshold [W/m^2],300000.0,,
